table	lua_name	cpp_symbol	cpp_class	family	shape	nresults	impl_va	thunk_va	stub_va	vtable_va	s_name_slot	stanza_va
Vehicle	SetRaceStartCallback	SetRaceStartCallback		LuaGlueFunctor0	adapter	1	00762950	007653d0	007655b0	00fe8f48	0142e5a4	00761cdd
Vehicle	SetRaceWrongWayCallback	SetRaceWrongWayCallback		LuaGlueFunctor0	adapter	1	00762a30	00765410	007655d0	00fe8f58	0142e5ac	00761d85
Vehicle	SetRacerNearPlayerCallback	SetRacerNearPlayerCallback		LuaGlueFunctor0	adapter	1	00762b80	00765470	00765600	00fe8f70	0142e5b8	00761e81
Vehicle	SetRacerRoad	SetRacerRoad		LuaGlueFunctor0	adapter	1	0075fed0	00764df0	00765290	00fe8f38	0142e59c	00761c35
Vehicle	SetRacerSpeed	SetRacerSpeed		LuaGlueFunctor0	adapter	1	0075fc30	00764db0	00765270	00fe8f28	0142e594	00761b8d
Vehicle	SetRacerTarget	SetRacerTarget		LuaGlueFunctor0	adapter	1	0075fd40	00764dd0	00765280	00fe8f30	0142e598	00761be1
Vehicle	SetRacing	SetRacing		LuaGlueFunctor0	adapter	1	0075f760	00764d90	00765260	00fe8f20	0142e590	00761b39
Vehicle	SetStuckCallback	SetStuckCallback		LuaGlueFunctor0	adapter	1	007634d0	00765690	007657c0	00fe8ed8	0142e56c	00761845
Vehicle	SetSuperHeavy	SetSuperHeavy		LuaGlueFunctor0	adapter	1	00760270	00764e60	007652d0	00fe8fa8	0142e5d4	00762121
Vehicle	SetTakeDamageInCinematic	SetTakeDamageInCinematic		LuaGlueFunctor0	adapter	1	00760720	00764f80	00765360	00fe9008	0142e604	00762511
Vehicle	SetupRace	SetPlayerRoad		LuaGlueFunctor0	adapter	1	0075ffb0	00764e10	007652a0	00fe8f90	0142e5c8	00762025
Vehicle	ShowRaceTimer	VehicleShowRaceTimer		LuaGlueFunctor0	adapter	1	007600e0	00764e30	007652b0	00fe8f98	0142e5cc	00762079
Vehicle	SpawnRacer	SpawnRacer		LuaGlueFunctor0	adapter	1	007636a0	007656b0	007657d0	00fe8ef8	0142e57c	00761995
Vehicle	StartFireEffect	VehicleStartFireEffect		LuaGlueFunctor0	adapter	1	0075e8e0	00764b20	00765120	00fe8e68	0142e534	007613ad
Vehicle	StartPlayback	StartPlayback		LuaGlueFunctor0	adapter	1	00762fa0	00765510	00765650	00fe9028	0142e614	00762661
Vehicle	StartRaceTimer	VehicleStartRaceTimer		LuaGlueFunctor0R	jmp	eax	007601e0	00764e50	007652c0	00fe8fa0	0142e5d0	007620cd
Vehicle	StartSmokeEffect	VehicleStartSmokeEffect		LuaGlueFunctor0	adapter	1	0075e830	00764b00	00765110	00fe8e60	0142e530	00761359
Vehicle	TrafficAccidentResponse	TrafficAccidentResponse		LuaGlueFunctor0	adapter	1	0075ed90	00764c20	007651a0	00fe8eb0	0142e558	007616a1
Vehicle	TurnHeadlightsOff	TurnHeadlightsOff		LuaGlueFunctor0	adapter	1	007609a0	00764ea0	007652f0	00fe8fb8	0142e5dc	007621c9
Vehicle	TurnHeadlightsOn	TurnHeadlightsOn		LuaGlueFunctor0	adapter	1	007608a0	00764e80	007652e0	00fe8fb0	0142e5d8	00762175
Vehicle	UnboardAll	VehicleUnboardAll		LuaGlueFunctor0	adapter	1	00763100	00765670	007657b0	00fe8e90	0142e548	00761551
Zone	Enable	ZoneEnable		LuaGlueFunctor0	adapter	1	007659a0	00765c60	00765ca0	00fe90f8	0142e624	007658dd
Zone	SwitchState	ZoneSwitchState		LuaGlueFunctor0	adapter	1	00765aa0	00765c80	00765cb0	00fe9100	0142e628	00765931
