pc_va	name	source	method
0x6278d0	?$LuaGlueFunctor0@$1?TrainCreate@WSTrain@@SAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x628280	WSTrainCarriagePositionUpdateFunction::CommandFuncCallback	both	rtti_exact
0x62c9b0	WSTrainWeaponAmmoUpdateFunction::CommandFuncCallback	both	rtti_exact
0x633300	WSTrainItemConstrainFunction::CommandFuncCallback	both	rtti_exact
0x634780	WSSearchTurret::StartFireEmitter	both	assert
0x636a00	WSTurret::StartFireEmitter	both	assert
0x6386e0	?$PblAssetT@VWSModel@@::`scalar deleting dtor'	both	rtti_exact
0x6387e0	WSModel::SetupHavokModel	both	rtti_exact
0x638850	WSModel::SetupModuleHavokModel	both	rtti_exact
0x6399f0	WSModel::GetRoot	both	rtti_exact
0x639a00	WSModel::GetVisualMesh	both	rtti_exact
0x639a30	WSModel::GetCollisionMesh	both	rtti_exact
0x63a270	WSModel::`vector deleting dtor'	both	rtti_exact
0x63a810	WSModelInstance::WSModelInstance	single-A	assert-string
0x63aa50	WSModelInstance::GetRoot	both	rtti_exact
0x63aa60	WSModelInstance::GetVisualMesh	both	rtti_exact
0x63aa90	WSModelInstance::GetCollisionMesh	both	rtti_exact
0x63aaf0	WSModelInstance::`scalar deleting dtor'	both	rtti_exact
0x63e32e	WSSceneBox::SetupBox	both	assert
0x651680	WSSaveable::`vector deleting dtor'	both	rtti_exact
0x654180	WSSaveLoadManager::StartReturnToHQ	both	assert
0x6543d0	WSSaveLoadManager::StartLoading	both	assert
0x654900	WSSaveLoadManager::StartLoadCheckpoint	both	assert
0x654d30	WSSaveLoadManager::ExecutePendingSaveLoad	both	assert
0x6600f0	WSStreamBlockUncompressor::SetupUncompressJob	single-A	assert-string
0x66b410	WSDynamicPart::DeleteSynched	both	assert
0x66f040	WSFighter::SetGrapplePartner	both	assert
0x671620	GDefaultAcquireInterface::~GDefaultAcquireInterface	both	rtti_exact
0x67b880	WSSaveloadGui::DoShellContinueWOSaving	single-A	assert-string
0x68f520	WSUpdateableContainer::UpdateAll	both	rtti_exact
0x68f570	WSUpdateableContainer::UpdateSome	both	rtti_exact
0x68fda0	WSUpdateableContainer::~WSUpdateableContainer	both	rtti_exact
0x69a640	WSGrenade::Update	both	assert
0x69b5e0	?$WSFactory@VWSOrdnanceBlueprint@@::`vector deleting dtor'	both	rtti_exact
0x69b890	WSInventoryState::StateEqual	both	rtti_exact
0x69b8b0	WSInventoryState::ItemInHand	both	rtti_exact
0x69b8c0	WSInventoryState::ItemStowed	both	rtti_exact
0x69b8e0	WSInventoryState::IsStowingOnly	both	rtti_exact
0x69b8f0	WSInventoryState::`vector deleting dtor'	both	rtti_exact
0x69b920	WSInventoryStateStow::StateEqual	both	rtti_exact
0x69b950	WSInventoryStateStow::ItemInHand	both	rtti_exact
0x69b990	WSInventoryStateStow::ItemStowed	both	rtti_exact
0x69b9c0	WSInventoryStateStow::Update	both	rtti_exact
0x69bdb0	WSInventoryStateStow::WSInventoryStateStow	both	assert
0x69c160	WSInventoryStateStow::FinishState	both	rtti_exact+assert
0x69c270	WSInventoryStateStow::GetState	both	rtti_exact
0x69c280	WSInventoryStateStow::IsStowingOnly	both	rtti_exact
0x69c290	WSInventoryStateStow::`vector deleting dtor'	both	rtti_exact
0x69cb70	WSItem::OnFinishedSettingUp	both	assert
0x69dc40	WSItemBlueprint::SetProperty	both	assert
0x6a1ab0	WSBulletFilteredRayCastCallback::addBroadPhaseHandle	both	rtti_exact
0x6a5f30	WSBulletFilteredRayCastCallback::~WSBulletFilteredRayCastCallback	both	rtti_exact
0x6aa320	WSOrdnanceReactionHelper::PlayFullBodyStumbleAnimation	single-A	assert-string
0x6aa7c0	WSOrdnanceReactionHelper::PlayUpperBodyStumbleAnimation	both	assert
0x6ab030	WSOrdnanceReactionHelper::PlayDeathAnimation	single-A	assert-string
0x6ac980	?$WSFactory@VWSRicochetBlueprint@@::`vector deleting dtor'	both	rtti_exact
0x6ae7e0	WSRocketBlueprint::IsReadyToBuild	both	assert
0x6b1bf0	WSWeapon::BulletReloaded	both	assert
0x6b1fa0	WSWeapon::UpdateReload	both	assert
0x6b2040	WSWeapon::EnterCock	both	assert
0x6b3ce0	WSWeapon::Fire	single-A	assert-string
0x6b55f0	WSWeapon::ExitReload	both	assert
0x6b57cd	WSWeapon::CleanupGrenadeThrow	both	assert
0x6b5960	WSWeapon::UpdateGrenadeFire	both	assert
0x6b76a0	WSSpecialWeaponItem::TriggerDetonator	both	assert
0x6be5a0	WSWeapon::UpdateFire	both	assert
0x6c9f40	WSHumanStateOnGround::ResetLongIdle	single-B	assert
0x6d8890	WSParticleClusterBlueprint::ClusterLOD::DestoryPrimitive	both-conflict(base-preferred)	assert
0x6dbf20	WSParticleEmitter::Update	both	rtti_exact
0x6dd110	WSParticleEmitter::Render	both	rtti_exact
0x6e3540	PblRef::`scalar deleting dtor'	both	rtti_exact
0x6e3700	WSParticleInfoData::`scalar deleting dtor'	both	rtti_exact
0x6f6450	LuaFilterExpression::`scalar deleting dtor'	both	rtti_exact
0x6f88c0	WSInventory::DropLoot	both	assert
0x7085b0	WSDamageEvent::Update	both	rtti_exact
0x708650	WSDamageEvent::DebugDump	both	rtti_exact
0x708810	WSDeathEvent::Update	both	rtti_exact
0x708920	WSEnteredVehicleEvent::Update	both	rtti_exact
0x7090f0	WSInventoryCheckEvent::Update	both	rtti_exact
0x709970	WSProximityEvent::Update	both	rtti_exact
0x709c20	WSProximityEventBone::Update	both	rtti_exact
0x70a450	WSProximityEvent::DebugDump	both-conflict(base-preferred)	rtti_exact
0x70a760	WSSeatChangedEvent::Update	both	rtti_exact
0x70aa10	WSSeatChangedEvent::`vector deleting dtor'	both	rtti_exact
0x70aa70	WSSeatEmptyEvent::Update	both	rtti_exact
0x70ac30	WSSeatEmptyEvent::`scalar deleting dtor'	both	rtti_exact
0x70ac70	WSSeatsFilledEvent::Update	both	rtti_exact
0x70aee0	WSSeatsFilledEvent::`vector deleting dtor'	both	rtti_exact
0x70b990	WSStreamEvent::Update	both	rtti_exact
0x715790	?$LuaGlueFunctor0@$1?ResetFallDamageRagdoll@@YAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x7157e0	?$LuaGlueFunctor0@$1?ResetFallDamageDeath@@YAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x715830	?$LuaGlueFunctor0@$1?ResetFallDamageMult@@YAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x715880	?$LuaGlueFunctor0@$1?ResetFallDamageMinSpeed@@YAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x7166f0	?$LuaGlueFunctor0@$1?SetFallDamageRagdoll@@YAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x716700	?$LuaGlueFunctor0@$1?SetFallDamageDeath@@YAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x716710	?$LuaGlueFunctor0@$1?SetFallDamageMult@@YAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x716720	?$LuaGlueFunctor0@$1?SetFallDamageMinSpeed@@YAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x716760	?$LuaGlueFunctor0R@H$1?ActorIsDisguised@@YAHPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x716770	?$LuaGlueFunctor0@$1?EnableLongIdle@@YAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x716780	?$LuaGlueFunctor0@$1?SurgeonGeneral@@YAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x7171d0	?$LuaGlueFunctor0@$1?ChangeModule@@YAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x7171e0	?$LuaGlueFunctor0R@H$1?GetCurrentModule@@YAHPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x7171f0	?$LuaGlueFunctor0@$1?SetPredefinedModule@@YAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x717200	?$LuaGlueFunctor0R@H$1?GetPredefinedModule@@YAHPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x717210	?$LuaGlueFunctor0@$1?EnableSchedule@@YAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x717220	?$LuaGlueFunctor0@$1?SetLabel@@YAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x717240	?$LuaGlueFunctor0R@H$1?HasLabel@@YAHPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x717250	?$LuaGlueFunctor0R@H$1?GetSelf@@YAHPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x717260	?$LuaGlueFunctor0R@H$1?GetModuleInputs@@YAHPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x717270	?$LuaGlueFunctor0@$1?SetModuleInputs@@YAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x717280	?$LuaGlueFunctor0@$1?SetPersistent@@YAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x717290	?$LuaGlueFunctor0@$1?TurnOnDude@@YAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x7172a0	?$LuaGlueFunctor0R@H$1?IsSlacker@@YAHPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x7172b0	?$LuaGlueFunctor0R@H$1?IsAShop@@YAHPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x7172c0	?$LuaGlueFunctor0@$1?SetupShop@@YAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x7172d0	?$LuaGlueFunctor0R@H$1?IsTalkable@@YAHPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x7172e0	?$LuaGlueFunctor0@$1?SetTalkable@@YAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x7172f0	?$LuaGlueFunctor0R@H$1?ActorIsAlive@@YAHPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x717300	?$LuaGlueFunctor0@$1?Immolate@@YAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
0x717310	?$LuaGlueFunctor0@$1?SetPanicEnabled@@YAXPAUlua_State@@@Z::GetFuncPtr	single-A	rtti-vtable
